Team,EloRating
Wolves,1372.6
Everton,1502.7
Arsenal,1597.2
Aston Villa,1562.8
Liverpool,1530.3
Brighton,1504.5
Newcastle,1499.4
Man City,1559.8
Crystal Palace,1485.1
Nott'm Forest,1449.5
Leeds,1472.3
Chelsea,1532.2
Fulham,1505.8
Brentford,1511.4
Sunderland,1526.5
Tottenham,1479.5
Man United,1544.8
West Ham,1434.0
Burnley,1416.9
Bournemouth,1512.7
